GT Prog,Description,Image,Would GT Prog Get Pruned?,Due to False Positives?,Due to False Negatives?,Relevant Labels
"Union[GetFace(8), Map(GetFace(8), GetFace(34), GetAbove)]",Face 8 and face 34 when it is behind face 8,test_images/wedding/Ana Maria Photography-68.jpg,False,False,False,
"Union[GetFace(8), Map(GetFace(8), GetFace(34), GetAbove)]",Face 8 and face 34 when it is behind face 8,test_images/wedding/Ana Maria Photography-103.jpg,False,False,False,
"Union[GetFace(8), Map(GetFace(8), GetFace(34), GetAbove)]",Face 8 and face 34 when it is behind face 8,test_images/wedding/Ana Maria Photography-30.jpg,False,False,False,
"Map(IsFace, IsFace, GetAbove)",All faces in back,test_images/wedding/Ana Maria Photography-39.jpg,False,False,False,
"Map(IsFace, IsFace, GetAbove)",All faces in back,test_images/wedding/Ana Maria Photography-60.jpg,False,False,False,
"Map(IsFace, IsFace, GetAbove)",All faces in back,test_images/wedding/Ana Maria Photography-177.jpg,False,False,False,
"Map(IsFace, IsFace, GetAbove)",All faces in back,test_images/wedding/Ana Maria Photography-85.jpg,False,False,False,
"Map(IsFace, IsFace, GetAbove)",All faces in back,test_images/wedding/Ana Maria Photography-138.jpg,False,False,False,
"Map(IsFace, IsFace, GetAbove)",All faces in back,test_images/wedding/Ana Maria Photography-33.jpg,False,False,False,
"Map(IsFace, IsFace, GetAbove)",All faces in back,test_images/wedding/Ana Maria Photography-125.jpg,False,False,False,
"Map(IsFace, IsFace, GetAbove)",All faces in back,test_images/wedding/Ana Maria Photography-57.jpg,False,False,False,
"Map(IsFace, IsFace, GetAbove)",All faces in back,test_images/wedding/Ana Maria Photography-81.jpg,False,False,False,
"Map(IsFace, IsFace, GetAbove)",All faces in back,test_images/wedding/Ana Maria Photography-13.jpg,False,False,False,
"Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]",All faces in back that are not smiling,test_images/wedding/Ana Maria Photography-66.jpg,False,False,False,
"Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]",All faces in back that are not smiling,test_images/wedding/Ana Maria Photography-14.jpg,True,True,False,Person
"Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]",All faces in back that are not smiling,test_images/wedding/Ana Maria Photography-17.jpg,False,False,False,
"Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]",All faces in back that are not smiling,test_images/wedding/Ana Maria Photography-44.jpg,False,False,False,
"Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]",All faces in back that are not smiling,test_images/wedding/Ana Maria Photography-106.jpg,False,False,False,
"Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]",All faces in back that are not smiling,test_images/wedding/Ana Maria Photography-103.jpg,False,False,False,
"Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]",All faces in back that are not smiling,test_images/wedding/Ana Maria Photography-107.jpg,False,False,False,
"Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]",All faces in back that are not smiling,test_images/wedding/Ana Maria Photography-109.jpg,True,False,True,Face
"Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]",All faces in back that are not smiling,test_images/wedding/Ana Maria Photography-51.jpg,False,False,False,
"Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]",All faces in back that are not smiling,test_images/wedding/Ana Maria Photography-130.jpg,False,False,False,
"Intersection[Map(IsFace, IsFace, GetNext), Map(IsFace, IsFace, GetPrev)]",All faces except leftmost and rightmost face,test_images/wedding/Ana Maria Photography-118.jpg,False,False,False,
"Intersection[Map(IsFace, IsFace, GetNext), Map(IsFace, IsFace, GetPrev)]",All faces except leftmost and rightmost face,test_images/wedding/Ana Maria Photography-51.jpg,False,False,False,
"Intersection[Map(IsFace, IsFace, GetNext), Map(IsFace, IsFace, GetPrev)]",All faces except leftmost and rightmost face,test_images/wedding/Ana Maria Photography-156.jpg,False,False,False,
"Intersection[Map(IsFace, IsFace, GetNext), Map(IsFace, IsFace, GetPrev)]",All faces except leftmost and rightmost face,test_images/wedding/Ana Maria Photography-36.jpg,False,False,False,
"Intersection[Map(IsFace, IsFace, GetNext), Map(IsFace, IsFace, GetPrev)]",All faces except leftmost and rightmost face,test_images/wedding/Ana Maria Photography-103.jpg,False,False,False,
"Intersection[Map(IsFace, IsFace, GetNext), Map(IsFace, IsFace, GetPrev)]",All faces except leftmost and rightmost face,test_images/wedding/Ana Maria Photography-45.jpg,False,False,False,
"Intersection[Map(IsFace, IsFace, GetNext), Map(IsFace, IsFace, GetPrev)]",All faces except leftmost and rightmost face,test_images/wedding/Ana Maria Photography-125.jpg,False,False,False,
"Intersection[Map(IsFace, IsFace, GetNext), Map(IsFace, IsFace, GetPrev)]",All faces except leftmost and rightmost face,test_images/wedding/Ana Maria Photography-151.jpg,True,False,True,Face
"Intersection[Map(IsFace, IsFace, GetNext), Map(IsFace, IsFace, GetPrev)]",All faces except leftmost and rightmost face,test_images/wedding/Ana Maria Photography-154.jpg,False,False,False,
"Intersection[Map(IsFace, IsFace, GetNext), Map(IsFace, IsFace, GetPrev)]",All faces except leftmost and rightmost face,test_images/wedding/Ana Maria Photography-184.jpg,True,False,True,Face
