Ground Truth Program,Extracted Program,Round,# Objects,FTA Construction Time,# Enumerated Programs
"Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]","['Map(EyesOpen, GetFace(48), GetAbove)', 'Map(BelowAge(18), GetFace(48), GetAbove)', 'Map(BelowAge(18), GetFace(48), GetPrev)', 'Map(GetFace(625), IsFace, GetAbove)', 'Map(GetFace(629), IsFace, GetNext)', 'Map(GetFace(625), IsFace, GetPrev)', 'Intersection[GetFace(48), Complement(Smile)]', 'Intersection[GetFace(48), Complement(EyesOpen)]', 'Intersection[GetFace(48), Complement(MouthOpen)]', 'Map(IsObject(Tie), GetFace(48), GetPrev)', 'Map(GetFace(625), GetFace(48), GetAbove)', 'Map(GetFace(629), GetFace(48), GetNext)', 'Map(GetFace(625), GetFace(48), GetPrev)', 'Map(GetFace(626), GetFace(48), GetPrev)', 'Map(GetFace(627), GetFace(48), GetPrev)', 'Map(GetFace(628), GetFace(48), GetPrev)', 'Intersection[IsFace, Complement(EyesOpen), Complement(MouthOpen)]', 'Map(Intersection[MouthOpen, BelowAge(18)], IsFace, GetAbove)', 'Map(Intersection[MouthOpen, BelowAge(18)], IsFace, GetPrev)', 'Complement(Union[EyesOpen, MouthOpen, Complement(IsFace)])']",4,92,4.237287963042036,10082
"Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]","['Map(BelowAge(18), GetFace(48), GetAbove)', 'Map(BelowAge(18), GetFace(48), GetPrev)', 'Map(GetFace(625), IsFace, GetAbove)', 'Map(GetFace(629), IsFace, GetNext)', 'Map(GetFace(625), IsFace, GetPrev)', 'Intersection[GetFace(48), Complement(Smile)]', 'Intersection[GetFace(48), Complement(EyesOpen)]', 'Intersection[GetFace(48), Complement(MouthOpen)]', 'Map(IsObject(Tie), GetFace(48), GetPrev)', 'Map(GetFace(625), GetFace(48), GetAbove)', 'Map(GetFace(629), GetFace(48), GetNext)', 'Map(GetFace(625), GetFace(48), GetPrev)', 'Map(GetFace(626), GetFace(48), GetPrev)', 'Map(GetFace(627), GetFace(48), GetPrev)', 'Map(GetFace(628), GetFace(48), GetPrev)', 'Intersection[IsFace, Complement(EyesOpen), Complement(MouthOpen)]', 'Map(Intersection[MouthOpen, BelowAge(18)], IsFace, GetAbove)', 'Map(Intersection[MouthOpen, BelowAge(18)], IsFace, GetPrev)', 'Complement(Union[EyesOpen, MouthOpen, Complement(IsFace)])', 'Intersection[IsFace, Complement(Union[EyesOpen, MouthOpen])]']",5,108,5.4011236889055,12111
"Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]","['Map(BelowAge(18), GetFace(48), GetPrev)', 'Map(GetFace(625), IsFace, GetAbove)', 'Map(GetFace(629), IsFace, GetNext)', 'Map(GetFace(625), IsFace, GetPrev)', 'Intersection[GetFace(48), Complement(Smile)]', 'Intersection[GetFace(48), Complement(EyesOpen)]', 'Intersection[GetFace(48), Complement(MouthOpen)]', 'Map(IsObject(Tie), GetFace(48), GetPrev)', 'Map(GetFace(625), GetFace(48), GetAbove)', 'Map(GetFace(629), GetFace(48), GetNext)', 'Map(GetFace(625), GetFace(48), GetPrev)', 'Map(GetFace(626), GetFace(48), GetPrev)', 'Map(GetFace(627), GetFace(48), GetPrev)', 'Map(GetFace(628), GetFace(48), GetPrev)', 'Intersection[IsFace, Complement(EyesOpen), Complement(MouthOpen)]', 'Map(Intersection[MouthOpen, BelowAge(18)], IsFace, GetAbove)', 'Map(Intersection[MouthOpen, BelowAge(18)], IsFace, GetPrev)', 'Complement(Union[EyesOpen, MouthOpen, Complement(IsFace)])', 'Intersection[IsFace, Complement(Union[EyesOpen, MouthOpen])]', 'Complement(Union[Smile, Complement(GetFace(48))])']",6,120,7.632578901946545,16510
"Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]","['Map(GetFace(625), IsFace, GetAbove)', 'Map(GetFace(629), IsFace, GetNext)', 'Map(GetFace(625), IsFace, GetPrev)', 'Intersection[GetFace(48), Complement(Smile)]', 'Intersection[GetFace(48), Complement(EyesOpen)]', 'Intersection[GetFace(48), Complement(MouthOpen)]', 'Map(IsObject(Tie), GetFace(48), GetPrev)', 'Map(GetFace(625), GetFace(48), GetAbove)', 'Map(GetFace(629), GetFace(48), GetNext)', 'Map(GetFace(625), GetFace(48), GetPrev)', 'Map(GetFace(626), GetFace(48), GetPrev)', 'Map(GetFace(627), GetFace(48), GetPrev)', 'Map(GetFace(628), GetFace(48), GetPrev)', 'Intersection[IsFace, Complement(EyesOpen), Complement(MouthOpen)]', 'Map(Intersection[MouthOpen, BelowAge(18)], IsFace, GetAbove)', 'Complement(Union[EyesOpen, MouthOpen, Complement(IsFace)])', 'Intersection[IsFace, Complement(Union[EyesOpen, MouthOpen])]', 'Complement(Union[Smile, Complement(GetFace(48))])', 'Complement(Union[EyesOpen, Complement(GetFace(48))])', 'Complement(Union[MouthOpen, Complement(GetFace(48))])']",7,131,8.710132863023318,17730
"Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]","['Map(GetFace(625), IsFace, GetAbove)', 'Map(GetFace(629), IsFace, GetNext)', 'Map(GetFace(625), IsFace, GetPrev)', 'Intersection[GetFace(48), Complement(EyesOpen)]', 'Intersection[GetFace(48), Complement(MouthOpen)]', 'Map(IsObject(Tie), GetFace(48), GetPrev)', 'Map(GetFace(625), GetFace(48), GetAbove)', 'Map(GetFace(629), GetFace(48), GetNext)', 'Map(GetFace(625), GetFace(48), GetPrev)', 'Map(GetFace(626), GetFace(48), GetPrev)', 'Map(GetFace(627), GetFace(48), GetPrev)', 'Map(GetFace(628), GetFace(48), GetPrev)', 'Intersection[IsFace, Complement(EyesOpen), Complement(MouthOpen)]', 'Map(Intersection[MouthOpen, BelowAge(18)], IsFace, GetAbove)', 'Complement(Union[EyesOpen, MouthOpen, Complement(IsFace)])', 'Intersection[IsFace, Complement(Union[EyesOpen, MouthOpen])]', 'Complement(Union[EyesOpen, Complement(GetFace(48))])', 'Complement(Union[MouthOpen, Complement(GetFace(48))])', 'Intersection[GetFace(48), Map(BelowAge(18), IsFace, GetPrev)]', 'Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]']",8,141,16.693617230979726,30809
"Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]","['Map(GetFace(625), IsFace, GetAbove)', 'Map(GetFace(629), IsFace, GetNext)', 'Map(GetFace(625), IsFace, GetPrev)', 'Intersection[GetFace(48), Complement(EyesOpen)]', 'Intersection[GetFace(48), Complement(MouthOpen)]', 'Map(GetFace(625), GetFace(48), GetAbove)', 'Map(GetFace(629), GetFace(48), GetNext)', 'Map(GetFace(625), GetFace(48), GetPrev)', 'Map(GetFace(626), GetFace(48), GetPrev)', 'Map(GetFace(627), GetFace(48), GetPrev)', 'Map(GetFace(628), GetFace(48), GetPrev)', 'Intersection[IsFace, Complement(EyesOpen), Complement(MouthOpen)]', 'Map(Intersection[MouthOpen, BelowAge(18)], IsFace, GetAbove)', 'Complement(Union[EyesOpen, MouthOpen, Complement(IsFace)])', 'Intersection[IsFace, Complement(Union[EyesOpen, MouthOpen])]', 'Complement(Union[EyesOpen, Complement(GetFace(48))])', 'Complement(Union[MouthOpen, Complement(GetFace(48))])', 'Intersection[GetFace(48), Map(BelowAge(18), IsFace, GetPrev)]', 'Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]', 'Intersection[Complement(Smile), Map(Smile, IsFace, GetAbove)]']",9,153,18.450462221051566,32186
"Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]","['Map(Intersection[MouthOpen, BelowAge(18)], IsFace, GetAbove)', 'Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]', 'Intersection[Complement(Smile), Map(Smile, IsFace, GetAbove)]', 'Intersection[Complement(Smile), Map(EyesOpen, IsFace, GetAbove)]', 'Intersection[Complement(Smile), Map(MouthOpen, IsFace, GetAbove)]', 'Intersection[Complement(Smile), Map(BelowAge(18), IsFace, GetAbove)]', 'Map(Intersection[Smile, MouthOpen, BelowAge(18)], IsFace, GetAbove)', 'Map(Intersection[EyesOpen, MouthOpen, BelowAge(18)], IsFace, GetAbove)']",10,175,63.59202553599607,100001
"Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]","['Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]', 'Intersection[Complement(Smile), Map(Smile, IsFace, GetAbove)]', 'Intersection[Complement(Smile), Map(MouthOpen, IsFace, GetAbove)]']",11,192,78.40867870207876,100001
"Intersection[Smile, EyesOpen]","['IsText', 'IsPrice', 'IsPhoneNumber', 'BelowAge(18)', 'Union[IsText, IsPrice]', 'Union[IsText, IsPhoneNumber]', 'Union[IsText, BelowAge(18)]', 'Union[IsPrice, IsPhoneNumber]', 'Union[IsPrice, BelowAge(18)]', 'Union[IsPhoneNumber, BelowAge(18)]', 'Intersection[IsFace, BelowAge(18)]', 'Intersection[IsText, IsPrice]', 'Intersection[IsText, IsPhoneNumber]', 'Intersection[IsPrice, IsPhoneNumber]', 'Intersection[Smile, EyesOpen]', 'Intersection[Smile, BelowAge(18)]', 'Intersection[EyesOpen, BelowAge(18)]', 'Intersection[MouthOpen, BelowAge(18)]', 'Intersection[IsObject(Person), IsObject(Suit)]', 'Intersection[IsObject(Person), IsObject(Tie)]']",1,7,0.08517051895614713,146
"Intersection[Smile, EyesOpen]","['Intersection[Smile, EyesOpen]', 'Union[GetFace(48), GetFace(51)]', 'Intersection[Smile, Complement(GetFace(0))]', 'Intersection[EyesOpen, Complement(GetFace(1))]', 'Map(Union[IsText, EyesOpen], IsFace, GetNext)', 'Map(Union[IsFace, IsText], Smile, GetNext)', 'Map(Union[IsText, Smile], Smile, GetNext)', 'Map(Union[IsText, EyesOpen], Smile, GetNext)', 'Map(Union[IsText, MouthOpen], Smile, GetNext)', 'Map(Union[IsText, EyesOpen], EyesOpen, GetNext)', 'Map(Union[IsText, EyesOpen], MouthOpen, GetNext)', 'Union[GetFace(48), Intersection[Smile, EyesOpen]]', 'Union[GetFace(51), Intersection[Smile, EyesOpen]]', 'Complement(Union[GetFace(0), Complement(Smile)])', 'Complement(Union[GetFace(1), Complement(EyesOpen)])', 'Complement(Union[Complement(Smile), Complement(EyesOpen)])', 'Intersection[Smile, Map(IsObject(Person), EyesOpen, GetAbove)]', 'Intersection[Smile, Map(IsObject(Person), EyesOpen, GetBelow)]', 'Intersection[Smile, Map(IsObject(Person), EyesOpen, GetContains)]', 'Intersection[Smile, Map(IsObject(Person), EyesOpen, GetNext)]']",2,14,2.3963004269171506,10468
"Intersection[Smile, EyesOpen]","['Intersection[Smile, EyesOpen]', 'Intersection[Smile, Complement(GetFace(0))]', 'Union[GetFace(12), Intersection[Smile, EyesOpen]]', 'Union[GetFace(13), Intersection[Smile, EyesOpen]]', 'Union[GetFace(14), Intersection[Smile, EyesOpen]]', 'Union[GetFace(15), Intersection[Smile, EyesOpen]]', 'Union[GetFace(16), Intersection[Smile, EyesOpen]]', 'Union[GetFace(17), Intersection[Smile, EyesOpen]]', 'Union[GetFace(19), Intersection[Smile, EyesOpen]]', 'Union[GetFace(48), Intersection[Smile, EyesOpen]]', 'Union[GetFace(51), Intersection[Smile, EyesOpen]]', 'Intersection[EyesOpen, MouthOpen, Complement(GetFace(1))]', 'Complement(Union[GetFace(0), Complement(Smile)])', 'Complement(Union[Complement(Smile), Complement(EyesOpen)])', 'Union[GetFace(12), Intersection[Smile, EyesOpen, IsFace]]', 'Union[GetFace(12), Intersection[Smile, EyesOpen, MouthOpen]]', 'Union[GetFace(13), Intersection[Smile, EyesOpen, IsFace]]', 'Union[GetFace(13), Intersection[Smile, EyesOpen, MouthOpen]]', 'Union[GetFace(14), Intersection[Smile, EyesOpen, IsFace]]', 'Union[GetFace(14), Intersection[Smile, EyesOpen, MouthOpen]]']",3,45,11.255957711022347,37779
"Intersection[Smile, EyesOpen]","['Intersection[Smile, EyesOpen]', 'Union[GetFace(12), Intersection[Smile, EyesOpen]]', 'Union[GetFace(13), Intersection[Smile, EyesOpen]]', 'Union[GetFace(14), Intersection[Smile, EyesOpen]]', 'Union[GetFace(15), Intersection[Smile, EyesOpen]]', 'Union[GetFace(16), Intersection[Smile, EyesOpen]]', 'Union[GetFace(17), Intersection[Smile, EyesOpen]]', 'Union[GetFace(19), Intersection[Smile, EyesOpen]]', 'Union[GetFace(48), Intersection[Smile, EyesOpen]]', 'Union[GetFace(51), Intersection[Smile, EyesOpen]]', 'Complement(Union[Complement(Smile), Complement(EyesOpen)])', 'Union[GetFace(12), Intersection[Smile, EyesOpen, IsFace]]', 'Union[GetFace(13), Intersection[Smile, EyesOpen, IsFace]]', 'Union[GetFace(14), Intersection[Smile, EyesOpen, IsFace]]', 'Union[GetFace(15), Intersection[Smile, EyesOpen, IsFace]]', 'Union[GetFace(16), Intersection[Smile, EyesOpen, IsFace]]', 'Union[GetFace(17), Intersection[Smile, EyesOpen, IsFace]]', 'Union[GetFace(19), Intersection[Smile, EyesOpen, IsFace]]', 'Union[GetFace(48), Intersection[Smile, EyesOpen, IsFace]]', 'Union[GetFace(48), Intersection[Smile, EyesOpen, MouthOpen]]']",4,52,9.459732842049561,31678
"Intersection[IsFace, Complement(Intersection[Smile, EyesOpen])]","['IsFace', 'MouthOpen', 'Union[Smile, EyesOpen]', 'Union[Smile, GetFace(1)]', 'Union[EyesOpen, GetFace(0)]', 'Map(IsObject(Person), IsFace, GetAbove)', 'Map(IsObject(Person), MouthOpen, GetAbove)', 'Map(IsObject(Person), IsFace, GetBelow)', 'Map(IsObject(Person), MouthOpen, GetBelow)', 'Map(IsObject(Person), IsFace, GetContains)', 'Map(IsObject(Person), MouthOpen, GetContains)', 'Map(IsObject(Person), IsFace, GetNext)', 'Map(IsObject(Person), MouthOpen, GetNext)', 'Union[Smile, Intersection[EyesOpen, IsFace]]', 'Union[Smile, Intersection[EyesOpen, MouthOpen]]', 'Union[Smile, Intersection[MouthOpen, IsFace]]', 'Union[EyesOpen, Intersection[Smile, IsFace]]', 'Union[EyesOpen, Intersection[Smile, MouthOpen]]', 'Union[EyesOpen, Intersection[MouthOpen, IsFace]]', 'Union[MouthOpen, Intersection[IsFace, EyesOpen]]']",1,7,0.26661880291067064,1384
